Etappennummer;Titel;Kurztext;Streckenbeschreibung;Ausgangspunkt;Endpunkt;Höhenmeter bergauf;Höhenmeter bergab;Höchster Punkt;Schwierigkeitsgrad;Streckenlänge (in km);Gehzeit (in Stunden);Einkehrmöglichkeiten;ID in GPS-Track
11;Adlerweg-Etappe 11: Karwendelhaus – Hallerangerhaus;Hinauf in höchste Höhen führt die alpinistisch anspruchsvollste Adlerweg-Etappe im Karwendel. Neben dem Karwendelhaus startet die Route und führt auf die 2.749 Meter hohe Birkkarspitze. Nach dem Gipfelsieg erfolgt der Abstieg ins schöne Hinterautal und weiter bis zum Etappenziel, dem Hallangerhaus.;Neben dem Karwendelhaus beginnt der markierte Steig zur Birkkarspitze. Der zieht zunächst recht steil und stellenweise seilversichert im felsdurchsetzten Gelände durch Latschen und Lawinenverbauten empor. Es geht dann in südöstlicher Richtung und nicht mehr so steil hinüber ins schier endlose Schlauchkar. Die Route leitet vorbei an der Abzweigung zum Hochalmkreuz (links) und an der Abzweigung zum Brendelsteig (rechts). Man behält hier die Richtung bei und wandert etwas mühsam – teilweise in felsdurchsetztem Gelände und vielfach in äußerst unangenehmem Geröll – durch das Kar hinauf (Steinmännchen). Der Steig gewinnt zunehmend an Steilheit, der letzte Abschnitt zum Schlauchkarsattel verläuft in südwestlicher Richtung. In dem Bereich muss in der Regel ein (meist hartes) Schneefeld überquert werden – man folgt am besten den Trittspuren. Vom Schlauchkarsattel (2.639 Meter) dann an der Birkkarhütte (Notunterstand) vorbei und über die seilversicherte Steiganlage in einfacher Kraxelei den Westgrat entlang hinüber zum Gipfel der Birkkarspitze (2.749 Meter) mit dem Kreuz. Vom Gipfel wieder zurück zum Schlauchkarsattel und im Süden hinab. Zunächst zieht die Route durch Blockwerk und stellenweise seilversichert steil abwärts ins Westliche Birkkar. Im Kar auf guten Steig weiter – vielfach durch Geröllfelder, abschnittsweise erneut recht steil. Schließlich an der orografisch linken Seite des Birkkarbachs ziemlich gerade hinunter ins Hinterautal zur Forststraße. Nun im Talboden einwärts und Richtung „Kastenalm“ bzw „Hallerangerhaus“. Auf dem Fahrweg rechts an der Kastenalm bzw. am Jagdhaus Kasten vorbei und in der Folge im lichten Wald steil aufwärts (oberhalb des in dem Bereich tief eingegrabenen Lafatscherbachs). Der Fahrweg führt in eine Art Hochtal, durch das die Strecke zunächst sanft ansteigend bzw. beinahe eben neben dem Lafatscher Bach verläuft. Nach der Jagdhütte geht es erneut ein wenig steiler nach oben ins Almgebiet des Lafatscher-Niederlegers mit dem urigen steiler nach oben ins Almgebiet des Lafatscher-Niederlegers mit dem urigen Almhaus. Hier durch die Wiesen gemütlich weiter. Bei der Weggabelung rechts Richtung „Hallerangerhaus“ halten (links: Hallerangeralm – jeweils 10 Minuten). Jetzt die letzten Höhenmeter empor zum Etappenziel.;Karwendelhaus;Hallerangerhaus;1440;1450;2749;schwierig;14;8;Karwendelhaus#Kastenalm#Hallerangerhaus#Hallerangeralm;A11
12;Adlerweg-Etappe 12: Hallerangerhaus –  Nordkette Innsbruck;Diese Etappe führt vom Hallangerhaus zum Hafelekar auf der Innsbrucker Nordkette. Der Weg dorthin führt am „Zugspitzblick“ vorbei, wo man bei schönem Wetter einen Blick auf Deutschlands höchsten Berg erhaschen kann. Am Hafelekar wartet dann noch der einzigartige Blick auf die Landeshauptstadt.;Vor der Hütte zunächst auf dem Steig Richtung „Lafatscher Joch“. Der Steig führt in ein Schuttkar, das zunehmend steiler und schmäler wird. Die Route leitet dann bald durch den so genannten „Durchschlag“ (hier wurde der alte Saumweg durch den Felsen gebrochen) und wenig später – vorbei an einem Kreuz – sanft hinauf auf einen Boden (in dem Bereich Abzweigemöglichkeit zur Speckkarspitze). Über den Boden geht es in nördlicher Richtung gemütlich zum Lafatscher Joch. Am Joch der Beschilderung „Pfeishütte“ folgen. Auf dem Steig sanft hinunter und sich an „Pfeishütte“ orientieren bzw. in Folge an „Pfeishütte über Wilde-Bande-Steig“. Auf dem urtümlichen „Wilde-Bande-Steig“ vielfach durch Latschen, mehrmals Rinnen überquerend, leicht ansteigend hinüber bis zum Einstieg ins Kar unterhalb des Stempeljochs. Hier an „Stempeljoch“ bzw. „Pfeishütte“ orientieren. Die Steiganlage (mit Brettern gebaut, zahlreiche Drahtseile) durch das Kar wird zunehmend steiler, der (zunächst schottrige) Untergrund dafür weiter oben fester. Vom Joch rechter Hand hinunter und durch Wiesen bzw. Almgebiet gemächlich zur Pfeishütte. Direkt bei der Pfeishütte beginnt der beschilderte „Goetheweg“ (Nr. 219). Der führt als Fußweg bzw. später als Steig gemütlich ansteigend in den Kessel südlich des Schutzhauses. Bei einer Weggabelung Richtung „Mandlscharte“ bzw. „Hafelekar Bergstation“, bei der folgenden Weggabelung rechter Hand weiter (links ginge es zur Arzler Scharte) und in einer weiten Schleife durch ein Schuttkar empor zur Mandlscharte. Von der Scharte jenseits durch Geröll hinab. Der jetzt wieder gute und recht breite Steig quert nun praktisch stets auf derselben Höhe unter den Felsen die Schuttreisen (toller Blick zur Rückseite der Nordkette). Nach einem kurzen Anstieg wird auf die Inntalseite gewechselt und dort in Serpentinen ein paar Meter abgestiegen. Anschließend auf dem bequemen Steig im oberen Bereich der abschüssigen, teilweise grasbewachsenen Südflanke der Nordkette insgesamt leicht ansteigend nach Westen zur Hafelekar - Bergstation (stets der Beschilderung „Hafelekar Bergstation“ bzw. „Goetheweg“ folgen). Zum Schluss abwechselnd links bzw. rechts vom Grat. Der Goetheweg ist vielfach ausgezeichnet versichert. Bei der Talfahrt mit der renovierten Nordkettenbahn und der neuen Hungerburgbahn gelangt man direkt in das Stadtzentrum zum Congress Innsbruck, wobei der Abstieg auch zu Fuß möglich ist, wo als Zwischenstation eine Besichtigung des Alpenzoos eingebaut werden kann.;Hallangerhaus;Innsbruck;1150;970;2280;schwierig;13;5,5;Hallerangerhaus#Hallerangeralm#Pfeishütte#Bergstation Hafelekar;A12
13;Adlerweg-Etappe 13: Innsbruck – Zirbenweg – Innsbruck;Diese Adlerweg-Etappe verläuft am Zirbenweg entlang durch einen der ältesten Zirbenbestände Europas. Von verschiedenen Aussichtspunkten gibt es immer wieder traumhafte Ausblicke auf Innsbruck und Hall sowie Teile des Inntals oder das Landschaftsschutzgebiet Viggartal.;"Von Innsbruck/Hauptbahnhof mit dem Bus bzw. der Straßenbahn nach Igls/Talstation Patscherkofelbahn und mit der Seilbahn zur Bergstation Patscherkofel. Bei der Bergstation (1.964 Meter) gleich der Beschilderung  „Zirbenweg“ (Nr. 350) folgen, der direkt oberhalb des „Schutzhauses Patscherkofel“ auf breitem Pfad Richtung Osten führt. Hier beginnt gleichzeitig der „Naturlehrpfad Patscherkofel“ des Alpenvereins. Der breite Pfad bzw. Steig zieht knapp oberhalb der Waldgrenze im freien, aber nicht völlig baumlosen Gelände (Zirben) insgesamt leicht ansteigend hinüber zur etwas versteckten Boscheben Hütte (2.035 Meter, hier Abzweigemöglichkeit ins Viggartal zum Meißner Haus; bis hierher führt der Naturlehrpfad entlang des Zirbenwegs). Von Boscheben in gleich bleibender Richtung weiter und nördlich unterhalb der kleinen Gipfel bleiben (nirgendwo ins Tal absteigen). Auf dem Steig hinüber zur Tulfeinalm und von dort in wenigen Minuten ein paar Meter empor zum Halsmarterlift. Der Zirbenweg verläuft nach Boscheben leicht an- und absteigend jedoch ohne wesentliche Höhenänderung entlang bzw. knapp über der 2.000-Meter-Marke – in der Regel etwas oberhalb der Waldgrenze, jedoch nicht im baumfreien Gebiet (Zirben!). Mit dem Lift nach Tulfes, von dort mit dem Bus nach Igls und von Igls mit dem Bus bzw. der (Straßen)bahn zurück nach Innsbruck. Wer wieder zu Fuß zur Talstation der Patscherkofelbahn gehen möchte, der geht von der Talstation Glungezerbahn am Speckbacherweg über Rinn und Sistrans nach Igls (Gehzeit ca. 3 Std.). Von der Talstation Patscherkofel/Igls zum Hauptbahnhof geht es von Igls nach Vill durch den Wald zur Poltenhütt; Haltestelle Tantegert, Abzweigung Richtung Bretterkeller, über Brücke Autobahn überqueren, ca. 200 Meter Richtung Westen zum Gasthof Bierstindl – Stift Wilten – Leopoldstraße – rechts zur Fußgängerunterführung Olympiabrücke – Südbahnstraße bis zum Bahnhof (Gehzeit ca. 1 ½ Std.).";Innsbruck Hauptbahnhof;Innsbruck Hauptbahnhof;300;200;2060;leicht;8;2,5;Patscherkofelhaus#Boschebenalm#Tulfeinalm;A13
14;Adlerweg-Etappe 14: Innsbruck – Solsteinhaus;Mit der Mittenwald- oder Karwendelbahn geht es von Innsbruck nach Hochzirl und weiter nach Seefeld. Von dort führt diese Etappe zum Solsteinhaus im Karwendel.;Mit der Mittenwaldbahn von Innsbruck oder zu Fuß vom Bahnhof in Richtung Westen der Salurnerstraße bis zur Triumphpforte folgend – dann nach links in die Maria- Theresien-Straße bis diese immer geradeaus in die Altstadt zum Goldenen Dachl führt – dort rechts vorbei in die Domgasse bis zum Dom zu St. Jakob. Dem Jakobsweg durch Innsbruck weiter nach Kranebitten, Völs, Kematen folgend und dann ab Kematen dem Wanderweg über die Innbrücke in Richtung Zirl nehmen, um dann weiter durch die Ehnbachklamm in Richtung Plainer zum Bahnhof Hochzirl und direkt vom Bahnhof der Beschilderung „Solsteinhaus“ folgen. Nördlich der Gleise gleich auf einem guten Steig in den dichten Wald hinein. Der Steig mündet nach kurzer Zeit in einen Karrenweg, auf diesem direkt und recht steil nach oben. Bald mündet links der Weg vom Krankenhaus Hochzirl ein, weiter aufwärts und in nordöstlicher Richtung steil durch den Wald. Nach der Überquerung des kleinen Bachs, der vom Brunnenschrofen herunterrinnt, ein kurzes Stück fast eben bzw. nur sanft ansteigend dahin. Die Route ähnelt jetzt beinahe einem Fahrweg und zieht bald wieder kräftiger empor. In einer Höhe von rund 1.350 Metern trifft die Route mit einem breiten Forstweg zusammen – hier weiter nach oben. Es geht oberhalb einer kleinen Schlucht vorbei und nach dem Bach über einen Steig im lichter werdenden Wald bzw. durch die Latschen empor ins freie Almgebiet bei der lieblichen Solnalm. Von der Solnalm erblickt man erstmals das Solsteinhaus. Rechts an der Alm vorbei und in nördlicher Richtung taleinwärts auf das Höllkar zu. Dabei wird die eine oder andere Schuttrinne überquert. Der Steig überquert dann die Ausläufer des Höllkars sowie den Bach und zieht schließlich in den Latschen gemütlich den Hang nach oben zum Erlsattel mit dem Solsteinhaus.;Innsbruck Hauptbahnhof;Solsteinhaus;940;70;1805;mittelschwierig;7;2,75;Solsteinhaus;A14
15;Adlerweg-Etappe 15: Solsteinhaus – Leutasch;Mitten durchs Karwendel führt diese Etappe und verläuft über die Eppzirler Scharte in das Leutaschtal und weiter zu den 24 Weilern der Gemeinde Leutasch. Dabei werden Almgebiete, Mischwälder und die Gießenbachklamm durchquert.;Beim Solsteinhaus der Beschilderung „Eppzirler Scharte“ bzw. „Eppzirler Alm“ folgen. Zunächst auf markiertem Steig durch das Almgebiet der Erlalm hinauf. Der Steig leitet in der Folge durch Schutt und Felsen hinüber zum Beginn des Schuttkars, empor zur Eppzirler Scharte. Beim Anstieg durch das Kar teilt sich der Steig – hier rechter Hand Richtung „Eppzirler Scharte“ (Nr. 212) und steil, aber auf gutem Steig zu der Scharte zwischen Kuhlochspitze und Erlspitze. Jenseits durch das oben steile und später sehr weite Schuttkar (Kuhloch) ebenfalls auf gutem Steig und teilweise in Serpentinen hinab. Bei etwa 1700 Meter taucht der Steig ein in grünes Almgebiet. Es folgt noch einmal eine kurze Steilstufe (Schutt), ehe die Route endgültig den Almboden erreicht. In der Folge sanft absteigend und schlieslich parallel zum (ausgetrockneten) Bachbett hinaus zur Eppzirler Alm. Von der Alm auf dem breiten Fahrweg im Weidegebiet gemutlich abwärts und stets durch das Eppzirler Tal in gleichbleibender Richtung auswarts. Vorbei an der Abzweigung zur Oberbrunnalm (Abzweigung bei 1.200 Meter) und weiter meist sanft absteigend Talauswarts. Der Fahrweg fuhrt jetzt den Giesenbach entlang (abwechselnd links und rechts vom Bach) und in die – zunächst noch bewaldete – Giesenbachklamm. Die Klamm wird zunehmend felsiger. Der Weg leitet schließlich zum Parkplatz für die Eppzirler Alm im Scharnitzer Ortsteil Giesenbach. Dann das Gleis und die Hauptstraße überqueren, in der Siedlung die erste Straße rechts Richtung „Scharnitz“ nehmen, anschließend links Richtung „Hoher Sattel“. Spater Richtung „Bogenschiesstand“ bzw. „Scharnitz“, dann links ab Richtung „Leutasch“ und bald rechter Hand den Forstweg „Leutasch über Hohen Sattel“ nehmen. Nach dieser kurzen ebenen Passage in Giesenbach führt der Forstweg mäßig steil hinauf und in der Folge sanft im lichten Mischwald durch die Sattelklamm empor. Ab dem Wegende zieht ein Steig im lichten Wald den Hang entlang und (im Mittelteil) recht zugig aufwärts. Der Steig mundet in einen Weg – hier in gleichbleibender Richtung weiter zum Hohen Sattel, stets der Beschilderung „Leutasch/Ahrn“ folgend. Jenseits des Sattels auf breitem Forstweg im lichten Wald (mitunter recht steil) durch das Satteltal hinunter nach Leutasch/Ahrn zur Brücke über die Leutascher Ache (unmittelbar vor dem Ziel nichts links abzweigen).;Solsteinhaus;Leutasch/Ahrn;870;1530;2110;mittelschwierig;20;6,5;Solsteinhaus#Eppzirleralm;A15
16;Adlerweg-Etappe 16: Leutasch – Ehrwald;Vorbei an den lieblichen Almen des Gaistals und entlang des natürlichen Bachbetts der Leutascher Ache führt diese Adlerweg-Etappe in Richtung Zugspitze.;Im Leutascher Ortsteil Ahrn bei der Brücke über die Leutascher Ache (Ausgangspunkt für den Hohen Sattel) an der orografisch linken Seite der Ache auf dem Fußweg Richtung „Weidach“. Bald wird auf die rechte Seite gewechselt (in diesem Bereich Richtung „Unterweidach“ bzw. „Achweg Weidach“). Man folgt dann im Prinzip auf dem Achweg stets der Leutascher Ache an deren orografisch rechtem Ufer bis zum Kalvarienberg am Beginn des Gaistals. Hier auf einem Eisensteg die Ache überqueren, ein paar Meter taleinwärts gehen, beim Mauthäuschen gleich wieder zurück auf die rechte Bachseite wechseln und dort taleinwärts weiter. Kurz vor dem Salzbachparkplatz der Beschilderung „Almenparadies Gaistal“ folgen und abermals die Ache überqueren. Dann jedoch nicht hinaus zum Parkplatz, sondern vorher links dem breiten Fahrweg ins Gaistal folgen. Nach wenigen Metern rechts abzweigen zum „Ganghoferweg“. Dieser breite Fußweg führt zunächst ein kurzes Stück steil nach oben. Wenig später sanft ansteigend im lichten Wald und entlang von Wiesen unterhalb der Hämmermoosalm vorbei stets taleinwärts („Gaistalalm“, „Tillfußalm“). Der Weg überquert den Leitenbach und führt nun ein paar Meter hinunter zur Gaistalalm (Ende des Ganghoferwegs). Von der Einkehr geht es in gleich bleibender Richtung zunächst über Almwiesen weiter zur Tillfußalm. Der Fußweg verwandelt sich bald in einen Steig, taucht in den Wald ein und steigt geringfügig an. Schließlich kaum spürbar hinab zur Tillfußalm. Von da weiter auf dem breiten Talweg nach Westen, parallel zum Bachbett der Leutascher Ache bzw. des Gaistalbachs. Bei der Weggabelung geradeaus („Ehrwalder Alm über Igelsee“). Die Route verläuft zwischen den immer markanter werdenden Mieminger Bergen links und dem Wettersteingebirge rechts. Es geht insgesamt sanft aufwärts und über eine Kuppe zum Igelsee. Hinter dem See bei der Weggabelung rechts und etwas steiler empor bis rund 1.600 Meter (hier Einmündung des Steigs von der Pestkapelle). Weiter auf der Forststraße hinunter zur Ehrwalder Alm und zur Bergstation der Ehrwalder Almbahn. Unterhalb der Ehrwalder Alm beginnt der „Wiesenweg nach Ehrwald“. Zunächst durchs Skigebiet, an der Weggabelung geradeaus bzw. rechts und ein Stück steil durch den Wald. Später leitet der Fußweg durch herrliche Bergmähder hinaus zur Talstation der Ehrwalder Almbahn. Entweder auf dem Zufahrtsweg oder auf dem Altmühlensteig (beginnt ein paar Meter südwestlich der Talstation auf der orografisch linken Seite des Geißbachs) hinaus nach Ehrwald.;Leutasch/Ahrn;Ehrwald;590;730;1597;leicht;23;7;Gaistalalm#Tillfussalm#Erwalder Alm;A16
17;Adlerweg-Etappe 17: Ehrwald – Lorea Hütte;Moosweg, Blindsee, Via Claudia Augusta oder Schloss Fernstein: Von einem Landschaftsjuwel zum nächsten geht es entlang dieser Adlerweg-Etappe.;In Ehrwald beginnt zwischen dem Hotel „Grüner Baum“ und dem Sparmarkt der beschilderte „Moosweg nach Lermoos“. Nach der „Großen Moosbrücke“ über die Loisach dann entweder links oder rechts vom Lussbach bis zum Ortsanfang von Lermoos. Dort durch den Ort zur Talstation der Grubigsteinbahn (bis hierher kein nennenswerter Höhenunterschied). Mit dem Lift zur Grubigalm (1.720 Meter). Hinter der Talstation der neuen 6-er-Sesselbahn den Fußweg Nr. 15 nehmen (Nähe Wegkreuz) und – ein wenig auf und ab – im Wald nach oben bis auf rund 1.750 Meter. Jetzt auf dem breiten Fußweg im Wald gemütlich hinunter. Die Route taucht nun in die Latschen ein (Blick zum Blindsee, stellenweise etwas steiler hinab). Die Strecke führt weiter unten erneut in den Wald. Der Fußweg bzw. Steig mündet in einen Forstweg – an der Stelle weiter hinunter. Die Route führt zur Fernpassbunde straße. Neben der Straße etwa 5 Minuten rechts hinüber zum Fernpass. Nördlich vom Gasthof Fernpass auf der alten Römerstraße sanft hinunter („Nassereith“, „Via Claudia Augusta“). Bei der Weggabelung rechts weiter, anschließend bald links hinunter Richtung „Fernstein“, „Nassereith“ (kurz eine Art Schotterpiste). Bald am Schanzlsee vorbei (nach dem See auf der Route für Radfahrer und Fußgänger bleiben). Die alte Römerstraße (kurzer Abschnitt ein Steig) leitet gemütlich hinab zum Schloss Fernstein mit dem Hotel. Vom Schloss Fernstein auf der alten Römerstraße leicht bergab weiter. Nach wenigen Metern zweigt rechts der Steig zur Loreahütte in den Wald ab. Auf dem Steig sehr steil und vielfach in Serpentinen neben dem Bach durch den Wald empor. Der Steig führt später durch Latschenbestände und zum Schluss über weite Almböden – jetzt weniger steil – zur Loreahütte.;Ehrwald;Lorea Hütte;1170;1190;2022;mittelschwierig;19;5,75;Grubigalm #Hotel Schloss Fernstein#Lorea Hütte;A17
18;Adlerweg-Etappe 18: Lorea Hütte – Anhalter Hütte;Diese Route führt in eines der entlegensten Gebiete Tirols und überrascht stets aufs Neue. Almen, Steilwände und wilde Bergflanken, Almrosen und Bergblumen sind stille Begleiter, die gesunde, klare Luft der Antrieb für diese Adlerweg-Etappe.;Bei der Lorea Hütte hält man sich an die Beschilderung „Loreakopf“ und wandert auf dem Steig über Almböden sanft hinauf. An der folgenden Steiggabelung links („Loreakopf“), vielfach durch Schutt und oben steil empor zur Loreascharte. Auf der anderen Seite auf dem Steig durch eine Grasflanke rasant hinunter ins Heimbachtal. Im Talboden linker Hand Richtung „Nassereith“ halten. Jetzt führt ein schmaler Steig neben dem Bach (in einer Passage direkt im Bachbett) leicht absteigend talauswärts. An der Stelle, wo das Tal einen deutlich sichtbaren Rechtsbogen einlegt, wird auf die orografisch rechte Bachseite gewechselt (Markierung am Felsen rechts nicht übersehen!). Fortan leitet das Steiglein in den Wald und in südwestlicher Richtung hinunter ins Tegestal zur Forststraße (Einmündung bei rund 1.400 Meter). Nun gemütlich ansteigend taleinwärts weiter, vorbei an der Abzweigung zur Heiterwandhütte (links) – immer in dem hier sanften Tegestal bleiben. Hinein ins Almgebiet und gemütlich nach oben zum Schweinsteinjoch (1.564 Meter, hier zweigt Route nach Sinnesbrunn ab). Vom Joch in gleichbleibender Richtung sanft durch das Almgebiet hinunter zur Hinteren Tarrentonalm (1.519 Meter). Bei der Alm der Beschilderung „Anhalter Hütte“ folgen und auf einem breiten Forstweg gemütlich bergwärts. An der Weggabelung wenig später links halten und dem Bach entlang wandern. Die Route leitet vorbei an der Schaferhütte und verwandelt sich in einen Steig. Nun im freien Gelände unterhalb der Heiterwand dem Steig bzw. den Steigspuren folgen, meist gemächlich ansteigend zum Hinterbergjoch (2.202 Meter). Vom Hinterbergjoch über einen steilen Grashang hinunter („Schwarze Erde“) und das Kar querend fast eben hinüber zum Kromsattel (Steigspuren). Vom Kromsattel leicht absteigend durch Wiesen und Almgebiet zur Anhalter Hütte.;Lorea Hütte;Anhalter Hütte;1200;1180;2315;mittelschwierig;16;6,5;Hotel Schloss Fernstein#Lorea Hütte#Hintere Tarrentonalm#Anhalter Hütte;A18
19;Adlerweg-Etappe 19: Anhalter Hütte – Hanauer Hütte;Eine intakte Berglandschaft, Wasserfälle und plätschernde Bäche sind die Begleiter auf dieser Adlerweg-Etappe. Interessante Einblicke und Ausblicke bieten sich vom Angerletal, der Weiler Pfafflar überrascht mit seinen „gestreift“ wirkenden Holzhäusern.;Von der Anhalter Hütte zunächst ein paar Meter in westlicher Richtung hinunter und dann auf dem Steig gemächlich ansteigend empor zum Steinjöchl (Seilsicherungen). Jenseits der Einsattelung vorerst direkt hinab, dann jedoch gleich sanft absteigend durch Wiesen und Latschen die Hänge querend in südwestlicher Richtung zum Hahntennjoch mit seiner alpinen Szenerie. An der Stelle, wo die Route zur Straße hinauf leitet, über Almwiesen den roten Markierungspfeilen folgend, rechter Hand auf einem Steig nach Westen hinunter – wenig später folgt Beschilderung „Hanauer Hütte“. Die Strecke verläuft nördlich der Straße entlang eines Steigs bzw. weiter unten auf einem Karrenweg durch Almwiesen, Latschen und lichten Mischwald gemütlich hinab. Sie führt in dem Bereich auch ein kurzes Stück durch eine kleine Schlucht. Die Route kommt in Folge zu einer Linkskehre der Straße. Ab hier wandert man auf dem Grünstreifen nördlich der Straße abwärts (Weg Nr. 601 an der Wand angeschrieben). Man gelangt bald zu den Häusern von Pfafflar (hier bestünde Abzweigemöglichkeit ins Fundaistal zum Galtseitejoch für den alternativen Zustieg zur Hanauer Hütte). Für den Normalweg jedoch an der Straße durch Pfafflar hindurch und beim Schild „Nach Boden“ linker Hand über die Straße und den Bach. In Folge auf einem idyllischen Steig entlang des Bachs hinunter (bei Häusergruppe erneut Abzweigemöglichkeit zum Galtseitejoch für den alternativen Zustieg). Für den Normalweg aber wechselweise auf dem Steig bzw. Karrenweg in westlicher Richtung – mitunter recht steil – abwärts in die Ortschaft Boden zum Parkplatz für die Hanauer Hütte. Hier gleich den Fundaisbach überqueren und der Beschilderung „Hanauer Hütte“ folgen. Die Route verläuft jetzt auf einem guten Forstweg und zieht nach der Überquerung des Angerlebachs in das Angerletal. Ab der Brücke steigt die Strecke wieder gemütlich an und führt jetzt durch lichten Wald. Bald zeigt sich bereits die Hanauer Hütte auf dem Plateau über dem Tal. Es folgt eine kurze absteigende Passage, ehe der Weg erneut – neben dem breiten Schotterbachbett im freien Gelände – hinauf durch das Angerletal leitet. Ab der Talstation der Materialseilbahn verwandelt sich der Fahrweg in einen Steig, der zuletzt recht steil in Serpentinen (hier auf dem Sommerweg bleiben) zur Hütte empor zieht.;Anhalter Hütte;Hanauer Hütte;750;870;2188;mittelschwierig;12,5;3,75;Anhalter Hütte#Haunauer Hütte;A19
20;Adlerweg-Etappe 20: Hanauer Hütte – Württemberger Haus;Auf dieser Etappe von der Hanauer Hütte zum Württemberger Haus wartet neben einem herrlichen Tiefblick auf den Steinsee ein herrlicher Panoramablick auf die umliegenden Gipfel. Almen, Bergblumen, Kare, Schuttreisen und Felswände machen die Tour zu einem abwechslungsreichen Erlebnis.;Direkt hinter der Hanauer Hütte folgt man dem Schild „Württemberger Haus“. Wenig später teilt sich der Steig – wir gehen an der Stelle Richtung „Steinseehütte“ (nicht „Württemberger Haus“). Knapp vor dem Bach teilt sich der Steig noch einmal – hier ist zweimal „Steinseehütte“ angeschrieben. Für die Hintere/ Östliche Dremelscharte wählt man die Route Nr. 625 (links). Ab nun folgt man stets der Beschilderung „Steinseehütte“. Es geht bald über einen steilen Hang hinauf und in den Kessel zwischen Dremelspitze und Kleiner Schlenkerspitze. Nach der Querung von Schuttreisen zieht ein tadelloser Steig durch ein Schuttkar steil empor in Richtung Östliche Dremelscharte. Im obersten Teil muss eine schmale, seilversicherte Rinne (Schutt) durchquert werden. Auf der anderen Seite leitet der Steig durch Wiesen zunächst steil hinunter und anschließend meist sanft absteigend am Steinsee vorbei zur Steinseehütte. Ab der Hütte abermals ein kurzes Stück abwärts, dann gemütlich ansteigend zur Steinkarscharte. Dahinter werden Grashänge bzw. Schuttreisen gequert, ehe der Steig stärker ansteigend durch Felsen und anschließend durch Schotter zur Roßkarscharte führt. Nach der Scharte in einer engen Felsrinne (Seile) steil hinunter, später in dem etwas breiter werdenden Kar auf Schutt hinab in ein Becken. Anschließend quert der Steig Wiesenhänge und Schuttreisen und steigt dabei mäßig an. Schließlich zieht die Route steil empor zum Gebäudjoch. Jenseits auf schwarzer Erde auf einem schlechten, nicht versicherten Steig steil abwärts und hinüber zu Grashängen, die gequert werden. Schließlich in Serpentinen hinunter zum Württemberger Haus.;Haunauer Hütte;Württemberger Haus;1240;930;2480;schwierig;11;7;Hanauer Hütte#Steinsee Hütte#Württemberger Haus;A20
21;Adlerweg-Etappe 21: Württemberger Haus – Memminger Hütte;Steinböcke gelten, so wie das Edelweiß, als ein Symbol der Alpen. Entlang dieser Adlerweg-Etappe zur Memminger Hütte ergeben sich immer wieder Möglichkeiten, Steinböcke in freier Natur zu beobachten.;Von der Hütte auf einem Steig zunächstein kurzes Stück hinunter. Dann werden sanft ansteigend Wiesenhänge und einSchuttkar gequert, ehe der Steig mitunter steil durch eine felsdurchsetzte Grasflanke (eine seilversicherte Stelle) zum Grat leitet. Nun links und rechts des Grats fast eben nach Norden zum Gipfel der Großbergspitze (Holzkreuz). Von der Großbergspitze führt die Route am Gratrücken ein kleines Stück sanft hinab. Ein Felsriegel wird – ansteigend – mit Hilfe von Drahtseilen überwunden, anschließend mit wenigen Schritten nach oben zum Großbergkopf. Jetzt geht es links vom Grat auf dem schottrigen Steig recht abschüssig und ausgesetzt wieder hinunter und vorbei am Großbergjoch. Danach werden – zunächst weiter absteigend – Wiesenhänge gequert, bis der Steig erneut hinaufzieht. Er quert ein Schuttkar und führt zum Schluss steiler empor zur Seescharte. Von dort auf der anderen Seite durch Schutt, Geröll und auf erdigem Boden hinab. Der Steig leitet oberhalb einer kleinen Schlucht entlang und führt ins Wiesengelände. Schließlich vorbei am größten See im Bereich der Hütte ans Etappenziel.;Württemberger Haus;Memminger Hütte;670;650;2623;schwierig;7;5;Württemberger Haus#Memminger Hütte;A21
